fermion,name,knot,family,sector,chi_local,chi_N80,delta_raw,support_size,num_beta
e,Elétron,3_1,lep,SU3,0.2110251529074958,0.5667124014507863,0.3556872485432905,18,6
e,Elétron,3_1,lep,SU2,0.7596899109785227,0.22447267156167072,-0.535217239416852,18,6
e,Elétron,3_1,lep,U1,0.7849990879549296,0.3414547222746478,-0.44354436568028177,18,6
u,Quark up,4_1,up,SU3,0.6053088696944542,0.5686234771928866,-0.03668539250156755,81,9
u,Quark up,4_1,up,SU2,0.23694521900097243,0.22788526621297933,-0.009059952787993097,81,9
u,Quark up,4_1,up,U1,0.4078414050923129,0.33417975942029443,-0.0736616456720185,81,9
d,Quark down,6_1,dn,SU3,0.6353817028070807,0.7090123688158201,0.07363066600873935,108,12
d,Quark down,6_1,dn,SU2,0.21702355468278256,0.2031896428889013,-0.01383391179388127,108,12
d,Quark down,6_1,dn,U1,0.28329658618986286,0.3341499166253925,0.05085333043552964,108,12
s,Quark strange,5_2,dn,SU3,0.6353817028070807,0.7090123688158201,0.07363066600873935,108,12
s,Quark strange,5_2,dn,SU2,0.21702355468278256,0.2031896428889013,-0.01383391179388127,108,12
s,Quark strange,5_2,dn,U1,0.28329658618986286,0.3341499166253925,0.05085333043552964,108,12
mu,Múon,6_3,lep,SU3,0.2110251529074958,0.5663125079991005,0.3552873550916047,18,6
mu,Múon,6_3,lep,SU2,0.7596899109785227,0.22326702264763298,-0.5364228883308897,18,6
mu,Múon,6_3,lep,U1,0.7849990879549296,0.3436893791786133,-0.44130970877631626,18,6
c,Quark charm,5_1,up,SU3,0.6053090473301381,0.5687354587280424,-0.0365735886020957,81,9
c,Quark charm,5_1,up,SU2,0.2369450413652885,0.2274860833040293,-0.009458958061259182,81,9
c,Quark charm,5_1,up,U1,0.4078414050923129,0.3345891741446394,-0.07325223094767352,81,9
tau,Tau,6_2,lep,SU3,0.2110251529074958,0.5667124014507863,0.3556872485432905,18,6
tau,Tau,6_2,lep,SU2,0.7596899109785227,0.22447267156167072,-0.535217239416852,18,6
tau,Tau,6_2,lep,U1,0.7849990879549296,0.3414547222746478,-0.44354436568028177,18,6
b,Quark bottom,7_6,dn,SU3,0.6353817028070807,0.7090123688158201,0.07363066600873935,108,12
b,Quark bottom,7_6,dn,SU2,0.21702355468278256,0.2031896428889013,-0.01383391179388127,108,12
b,Quark bottom,7_6,dn,U1,0.28329658618986286,0.3341499166253925,0.05085333043552964,108,12
t,Quark top,7_7,up,SU3,0.6053088696944542,0.5686234771928866,-0.03668539250156755,81,9
t,Quark top,7_7,up,SU2,0.23694521900097243,0.22788526621297933,-0.009059952787993097,81,9
t,Quark top,7_7,up,U1,0.4078414050923129,0.33417975942029443,-0.0736616456720185,81,9
