r,name,sector,orientation,blocks,Y_gut_code,Y_sm_unscaled,t3,t2
0,C_1\wedge C_2,Lambda2E,1,C/C,-0.5163977794943223,-0.6666666666666667,0.0,0.0
1,C_1\wedge C_3,Lambda2E,1,C/C,-0.5163977794943223,-0.6666666666666667,0.5,0.0
2,C_1\wedge W_1,Lambda2E,1,C/W,0.12909944487358055,0.16666666666666663,0.5,0.5
3,C_1\wedge W_2,Lambda2E,1,C/W,0.12909944487358055,0.16666666666666663,0.5,-0.5
4,C_2\wedge C_3,Lambda2E,1,C/C,-0.5163977794943223,-0.6666666666666667,-0.5,0.0
5,C_2\wedge W_1,Lambda2E,1,C/W,0.12909944487358055,0.16666666666666663,-0.5,0.5
6,C_2\wedge W_2,Lambda2E,1,C/W,0.12909944487358055,0.16666666666666663,-0.5,-0.5
7,C_3\wedge W_1,Lambda2E,1,C/W,0.12909944487358055,0.16666666666666663,0.0,0.5
8,C_3\wedge W_2,Lambda2E,1,C/W,0.12909944487358055,0.16666666666666663,0.0,-0.5
9,W_1\wedge W_2,Lambda2E,1,W/W,0.7745966692414834,1.0,0.0,0.0
10,C_1^*,E_star,-1,C,0.25819888974716115,0.33333333333333337,-0.5,-0.0
11,C_2^*,E_star,-1,C,0.25819888974716115,0.33333333333333337,0.5,-0.0
12,C_3^*,E_star,-1,C,0.25819888974716115,0.33333333333333337,-0.0,-0.0
13,W_1^*,E_star,-1,W,-0.3872983346207417,-0.5,-0.0,-0.5
14,W_2^*,E_star,-1,W,-0.3872983346207417,-0.5,-0.0,0.5
